name,medianPayDiff,section,clean_name,highlight
NWF AGRICULTURE LIMITED,23.6,Manufacturing,Nwf Agriculture,
NWF FUELS LIMITED,9.9,Wholesale and retail trade; repair of motor vehicles and motorcycles,Nwf Fuels,
NWF Group PLC,15.1,"Professional, scientific and technical activities",Nwf Group,
Oakham School,30.3,Education,Oakham School,
OAKWOOD DISTRIBUTION LIMITED,12,Administrative and support service activities,Oakwood Distribution,
OASIS DENTAL CARE LIMITED,35.3,Human health and social work activities,Oasis Dental Care,
Ocado Group PLC,-1.9,Wholesale and retail trade; repair of motor vehicles and motorcycles,Ocado Group,
OCEAN LEARNING TRUST,55,Education,Ocean Learning Trust,
OCTOPUS CAPITAL LIMITED,40.3,Financial and insurance activities,Octopus Capital,
"Office For Standards In Education, Childrens Services And Skills",2.3,Public Sector,"Office For Standards In Education, Childrens Services And Skills",
"Office For Standards In Education, Childrens Services And Skills",2.3,Public administration and defence; compulsory social security,"Office For Standards In Education, Childrens Services And Skills",
Office Of Rail and Road,27.2,Public Sector,Office Of Rail And Road,
Office Of Rail and Road,27.2,Public administration and defence; compulsory social security,Office Of Rail And Road,
Ofgem,5.8,Public Sector,Ofgem,
Ofgem,5.8,Public administration and defence; compulsory social security,Ofgem,
OIL STATES INDUSTRIES (UK) LIMITED,10.4,Mining and Quarrying,Oil States Industries,
OLD MUTUAL GLOBAL INVESTORS (UK) LIMITED,31,Financial and insurance activities,Old Mutual Global Investors,
OLD MUTUAL WEALTH BUSINESS SERVICES LIMITED,22,Administrative and support service activities,Old Mutual Wealth Business Services,
Oldham Care And Support Ltd,11.9,Other service activities,Oldham Care And Support,
Oldham Council,8,Public Sector,Oldham Council,
Oldham Council,8,Public administration and defence; compulsory social security,Oldham Council,
OLIVER BONAS LIMITED,1.4,Wholesale and retail trade; repair of motor vehicles and motorcycles,Oliver Bonas,
OMAR PARK HOMES LIMITED,-3,Manufacturing,Omar Park Homes,
ONE CALL RECRUITMENT LIMITED,0,Administrative and support service activities,One Call Recruitment,
ONE STOP STORES LIMITED,3.2,Construction,One Stop Stores,
ONE STOP STORES LIMITED,3.2,Wholesale and retail trade; repair of motor vehicles and motorcycles,One Stop Stores,
ONE YMCA,16,Accommodation and food service activities,One Ymca,
ONE YMCA,16,Education,One Ymca,
ONE YMCA,16,Human health and social work activities,One Ymca,
ONE YMCA,16,Other service activities,One Ymca,
ONECOM LIMITED,16.7,Information and communication,Onecom,
OPTIMUM GROUP SERVICES PLC,17,Administrative and support service activities,Optimum Group Services,
OPTIONIS MANAGEMENT LIMITED,-11,"Professional, scientific and technical activities",Optionis Management,
OPUS INTERNATIONAL CONSULTANTS (UK) LIMITED,25.8,"Professional, scientific and technical activities",Opus International Consultants,
ORANGE GENIE COVER LIMITED,1.3,Administrative and support service activities,Orange Genie Cover,
ORDNANCE SURVEY LIMITED,6.3,Public Sector,Ordnance Survey,
ORDNANCE SURVEY LIMITED,6.3,"Professional, scientific and technical activities",Ordnance Survey,
ORION ENGINEERING SERVICES LIMITED,11.6,Administrative and support service activities,Orion Engineering Services,
OSR RECRUITMENT SERVICES LIMITED,1.6,Administrative and support service activities,Osr Recruitment Services,
OUTOKUMPU STAINLESS LIMITED,22.7,Manufacturing,Outokumpu Stainless,
OVE ARUP & PARTNERS INTERNATIONAL LIMITED,16.7,"Professional, scientific and technical activities",Ove Arup & Partners International,
OXFORD ARCHAEOLOGY LIMITED,0,"Professional, scientific and technical activities",Oxford Archaeology,
Oxford Brookes University,13.7,Public Sector,Oxford Brookes University,
Oxford Diocesan Schools Trust,23.7,Education,Oxford Diocesan Schools Trust,
OXFORD INSTRUMENTS NANOTECHNOLOGY TOOLS LIMITED,19.9,Manufacturing,Oxford Instruments Nanotechnology Tools,
P A S (GRANTHAM) LIMITED,3.6,Manufacturing,P A S (grantham),
P.F.D.(CARLISLE)LIMITED,9.1,Wholesale and retail trade; repair of motor vehicles and motorcycles,P.f.d.(carlisle),
P.H. JONES FACILITIES MANAGEMENT LTD,34.8,Construction,P.h. Jones Facilities Management,
PABULUM LIMITED,46.7,Accommodation and food service activities,Pabulum,
PACIFIC CARE LIMITED,0,Human health and social work activities,Pacific Care,
PACIFICA GROUP LIMITED,28.6,Administrative and support service activities,Pacifica Group,
PALL MALL AND WOODCOTE PARK CLUBHOUSES LIMITED,6,Other service activities,Pall Mall And Woodcote Park Clubhouses,
PANALPINA WORLD TRANSPORT LIMITED,10.7,Transportation and storage,Panalpina World Transport,
PANELTEX LIMITED,2.5,Manufacturing,Paneltex,
Paradigm Trust,10.2,Public Sector,Paradigm Trust,
Paradigm Trust,10.2,Education,Paradigm Trust,
PARASOL LIMITED,-2,"Professional, scientific and technical activities",Parasol,
Parkinson's Disease Society Of The United Kingdom,5.9,Other service activities,Parkinson's Disease Society Of The United Kingdom,
PARTNERSHIP SERVICES LIMITED,38.5,Administrative and support service activities,Partnership Services,
PAULTONS PARK LIMITED,5.9,"Arts, entertainment and recreation",Paultons Park,
PD PORT SERVICES LIMITED,10,Transportation and storage,Pd Port Services,
PD TEESPORT LIMITED,16,Transportation and storage,Pd Teesport,
PDSA,44.3,"Professional, scientific and technical activities",Pdsa,
Peachkey Ltd,-0.1,Accommodation and food service activities,Peachkey,
PEARMAIN PUBS LTD,22.7,Accommodation and food service activities,Pearmain Pubs,
PEARSON EDUCATION LIMITED,3,Information and communication,Pearson Education,
PEARSON EDUCATION LIMITED,3,Administrative and support service activities,Pearson Education,
PEARSON EDUCATION LIMITED,3,Education,Pearson Education,
PEARSON MANAGEMENT SERVICES LIMITED,33,Financial and insurance activities,Pearson Management Services,
PEARSON PROFESSIONAL ASSESSMENTS LIMITED,0,Education,Pearson Professional Assessments,
PEARSON SHARED SERVICES LIMITED,60,Administrative and support service activities,Pearson Shared Services,
PEARTREE CLEANING SERVICES HOLDINGS LIMITED,2,Administrative and support service activities,Peartree Cleaning Services Holdings,
PENDENNIS SHIPYARD LIMITED,30.5,Manufacturing,Pendennis Shipyard,
Pendle Borough Council,-36,Public Sector,Pendle Borough Council,
Pendle Borough Council,-36,Public administration and defence; compulsory social security,Pendle Borough Council,
Peninsula Learning Trust,59.8,Public Sector,Peninsula Learning Trust,
Peninsula Learning Trust,59.8,Education,Peninsula Learning Trust,
PENNYHILL PARK LIMITED,4,Accommodation and food service activities,Pennyhill Park,
PENTAGON MOTOR HOLDINGS LIMITED,21.2,Wholesale and retail trade; repair of motor vehicles and motorcycles,Pentagon Motor Holdings,
PENTLAND BRANDS LIMITED,-23,Administrative and support service activities,Pentland Brands,
Penumbra,0,Human health and social work activities,Penumbra,
Penumbra,0,Other service activities,Penumbra,
PEOPLE IN ACTION,6,Human health and social work activities,People In Action,
People Potential Possibilities,0,Other service activities,People Potential Possibilities,
PEOPLEPLUS GROUP LIMITED,8.9,Education,Peopleplus Group,
PEPSICO INTERNATIONAL LIMITED,25.8,Other service activities,Pepsico International,
PERSHING LIMITED,48,Financial and insurance activities,Pershing,
PERSONA CARE AND SUPPORT LIMITED,0,Human health and social work activities,Persona Care And Support,
Personal Touch Cleaning Services Ltd,0,Administrative and support service activities,Personal Touch Cleaning Services,
PETER COX LIMITED,23,Construction,Peter Cox,
Peter Symonds College,32.5,Public Sector,Peter Symonds College,
Peter Symonds College,32.5,Education,Peter Symonds College,
Petroc College,18,Public Sector,Petroc College,
Petroc College,18,Education,Petroc College,
PFIZER LIMITED,17.6,Wholesale and retail trade; repair of motor vehicles and motorcycles,Pfizer,
PFIZER LIMITED,17.6,"Professional, scientific and technical activities",Pfizer,
PGDS (UK ONE) LIMITED,11.4,Information and communication,Pgds (uk One),
PGL TRAVEL LIMITED,-6,Accommodation and food service activities,Pgl Travel,
PHARM RESEARCH ASSOCIATES (UK) LIMITED,4.2,Information and communication,Pharm Research Associates,
PHASE EIGHT (FASHION & DESIGNS) LIMITED,54.5,Wholesale and retail trade; repair of motor vehicles and motorcycles,Phase Eight (fashion & Designs),
PHILIP DENNIS FOODSERVICE LIMITED,6.2,Wholesale and retail trade; repair of motor vehicles and motorcycles,Philip Dennis Foodservice,
Pick Everard,24.3,"Professional, scientific and technical activities",Pick Everard,
Picturehouse Cinemas Limited,0,Information and communication,Picturehouse Cinemas,
PINSENT MASONS SERVICES LIMITED,22.4,Financial and insurance activities,Pinsent Masons Services,
PIONEER FOODS (UK) LIMITED,10.8,Manufacturing,Pioneer Foods,
PIZZA HUT (U.K.) LIMITED,5.5,Accommodation and food service activities,Pizza Hut,
PIZZAEXPRESS (RESTAURANTS) LIMITED,4.9,Accommodation and food service activities,Pizzaexpress (restaurants),
PLANET ORGANIC LIMITED,3,Wholesale and retail trade; repair of motor vehicles and motorcycles,Planet Organic,
PLASMOR LIMITED,19,Manufacturing,Plasmor,
Plusnet PLC,-3.8,Information and communication,Plusnet,
Plymouth Cast,7,Public Sector,Plymouth Cast,
Plymouth Cast,7,Education,Plymouth Cast,
Plymouth City Council,-3.3,Public Sector,Plymouth City Council,
Plymouth City Council,-3.3,Public administration and defence; compulsory social security,Plymouth City Council,
POLYPIPE LIMITED,14.8,Manufacturing,Polypipe,
Poole High School,36.3,Public Sector,Poole High School,
Poole High School,36.3,Education,Poole High School,
PORK FARMS CASPIAN LIMITED,5.8,Manufacturing,Pork Farms Caspian,
PORK FARMS LIMITED,1.2,Manufacturing,Pork Farms,
PORTHAVEN GROUP HOLDINGS LIMITED,0,"Professional, scientific and technical activities",Porthaven Group Holdings,
Portico Academy Trust,17,Public Sector,Portico Academy Trust,
Portico Academy Trust,17,Education,Portico Academy Trust,
Portsmouth City Council,15,Public Sector,Portsmouth City Council,
Portsmouth City Council,15,Public administration and defence; compulsory social security,Portsmouth City Council,
PORTSMOUTH WATER LIMITED,13.1,"Water supply, sewerage, waste management and remediation activities",Portsmouth Water,
Pramacare,-0.7,Human health and social work activities,Pramacare,
PRAXAIR SURFACE TECHNOLOGIES LIMITED,10.6,Manufacturing,Praxair Surface Technologies,
PRECI-SPARK LIMITED,18.4,Other service activities,Preci-spark,
Precise Media Monitoring Ltd,2.1,Information and communication,Precise Media Monitoring,
PREMIER FOODS GROUP LIMITED,12.2,Manufacturing,Premier Foods Group,
PREMIER WORK SUPPORT LIMITED,1.2,Administrative and support service activities,Premier Work Support,
PREMIUM SUPPORT SERVICES LIMITED,0.1,Administrative and support service activities,Premium Support Services,
PRESTIGE RECRUITMENT SPECIALISTS LIMITED,0,Administrative and support service activities,Prestige Recruitment Specialists,
Preston City Council,0,Public Sector,Preston City Council,
Preston City Council,0,Public administration and defence; compulsory social security,Preston City Council,
Preston Manor Academy Trust,21,Public Sector,Preston Manor Academy Trust,
Preston Manor Academy Trust,21,Education,Preston Manor Academy Trust,
Preston's College,6.1,Public Sector,Preston's College,
Preston's College,6.1,Education,Preston's College,
PRICEWATERHOUSECOOPERS SERVICES LIMITED,13.1,Administrative and support service activities,Pricewaterhousecoopers Services,
Priestley Academy Trust,11.1,Public Sector,Priestley Academy Trust,
PRINCESS ALICE HOSPICE,-3.6,Education,Princess Alice Hospice,
PRINCESS ALICE HOSPICE,-3.6,Human health and social work activities,Princess Alice Hospice,
PRO-PAK FOODS LIMITED,12,Manufacturing,Pro-pak Foods,
PROACTIVE PERSONNEL (WEST MIDLANDS) LIMITED,6.3,Administrative and support service activities,Proactive Personnel (west Midlands),
PROACTIVE PERSONNEL LIMITED,-1.8,Administrative and support service activities,Proactive Personnel,
PROJECT MANAGEMENT (STAFFORDSHIRE) LIMITED,-19.1,Education,Project Management (staffordshire),
PROPER MUSIC DISTRIBUTION LIMITED,19.3,Other service activities,Proper Music Distribution,
PROSEAL UK LIMITED,15.4,Manufacturing,Proseal Uk,
PROSPECTS SERVICES,1.2,Education,Prospects Services,
PRS FOR MUSIC LIMITED,11.5,Administrative and support service activities,Prs For Music,
PRUDENTIAL DISTRIBUTION LIMITED,24.4,Financial and insurance activities,Prudential Distribution,
PRUDENTIAL FINANCIAL PLANNING LIMITED,4.1,"Professional, scientific and technical activities",Prudential Financial Planning,
PRUDENTIAL SERVICES LIMITED,27.2,Administrative and support service activities,Prudential Services,
PRUDENTIAL UK SERVICES LIMITED,14.5,Financial and insurance activities,Prudential Uk Services,
Pss (UK),-26,Human health and social work activities,Pss,
Q V FOODS LIMITED,13.5,Manufacturing,Q V Foods,
QBE MANAGEMENT SERVICES (UK) LIMITED,32.5,"Professional, scientific and technical activities",Qbe Management Services,
QBE MANAGEMENT SERVICES (UK) LIMITED,32.5,Administrative and support service activities,Qbe Management Services,
Qed Academy Trust,41.1,Public Sector,Qed Academy Trust,
Qed Academy Trust,41.1,Education,Qed Academy Trust,
QINETIQ LIMITED,20.5,"Professional, scientific and technical activities",Qinetiq,
QUADRANT CATERING LIMITED,3,Accommodation and food service activities,Quadrant Catering,
Quartzelec Ltd,25,Manufacturing,Quartzelec,
Quartzelec Ltd,25,Construction,Quartzelec,
"Queen's College, Taunton",18.9,Education,"Queen's College, Taunton",
QUILTER CHEVIOT LIMITED,45,Financial and insurance activities,Quilter Cheviot,
Qvc UK,14.7,Wholesale and retail trade; repair of motor vehicles and motorcycles,Qvc,
Qvc UK,14.7,Information and communication,Qvc,
R & R.C.BOND (WHOLESALE) LIMITED,-10.9,Wholesale and retail trade; repair of motor vehicles and motorcycles,R & R.c.bond (wholesale),
R E PEOPLE LIMITED,0,Administrative and support service activities,R E People,
R E PERSONNEL LIMITED,0,Administrative and support service activities,R E Personnel,
R3 Polygon UK Ltd.,10.2,Construction,R3 Polygon Uk,
RADIAN CAPITAL PLC,15.7,Financial and insurance activities,Radian Capital,
RADIAN GROUP LIMITED,15.7,Real estate activities,Radian Group,
RAGDALE HALL (1990) LIMITED,-8.6,Accommodation and food service activities,Ragdale Hall (1990),
RAMSIDE ESTATES LIMITED,0,Accommodation and food service activities,Ramside Estates,
RAPPORT HOUSING AND CARE,0,Human health and social work activities,Rapport Housing And Care,
Ratcliffe College,46.2,Education,Ratcliffe College,
RAWLE GAMMON & BAKER HOLDINGS LIMITED,2.6,Wholesale and retail trade; repair of motor vehicles and motorcycles,Rawle Gammon & Baker Holdings,
